,Unnamed: 0,Name,Genre,Category,Release_Date,Price (in $),Owners,Followers,Developers,Publishers
1787,2252,Spinner invaders,"Action, Indie"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Remote Play Together, Family Sharing",2021-09-28,7.99,"0 - 20,000",31,Wobi Games,Wobi Games
1788,2253,Take town,"Simulation, Strategy"," Single-player, Family Sharing",2021-08-26,3.99,"0 - 20,000",38,Merragamm,Merragamm
1789,2254,Droptch,"Simulation, Early Access"," Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Stats, Family Sharing",2021-10-15,5.99,"20,000 - 50,000",25,Crunchy Sushi,Crunchy Sushi
1790,2255,Evil shogun,"Fr, "," Single-player, Family Sharing",2021-07-20,1.0,"50,000 - 100,000",21,Rino Ito,Flat 47 Productions
1791,2256,Ghost of the seas,"Indie, Early Access"," Single-player, Steam Achievements, Steam Workshop, Family Sharing",2021-06-23,4.99,"0 - 20,000",79,Akselerasi Games Indonesia,Akselerasi Games Indonesia
1792,2257,Keep looking,"Casual, Strategy"," Single-player, Family Sharing",2021-04-25,29.99,"0 - 20,000",20,Keep looking,Keep looking
1793,2258,Street racing: united,"Simulation, Sports"," Single-player, Family Sharing",2021-10-08,14.99,"0 - 20,000",106,Technologies&Simulators,Technologies&amp;Simulators
1794,2259,Criminal t,"Fr, Indie"," Single-player, Family Sharing",2021-04-29,4.99,"0 - 20,000",34,IVStudio96,IVStudio96
1795,2260,My psychologist | bot-assistant,"RPG, Simulation"," Single-player, Steam Achievements, Family Sharing",2021-06-08,2.99,"0 - 20,000",57,WhiteHorse,WhiteHorse
1796,2262,Save the heart planet,"Indie, RPG"," Single-player, Family Sharing",2021-05-14,8.99,"20,000 - 50,000",71,Bi Kun,Bi Kun
1797,2264,Spellhunter,"Indie, Strategy"," Single-player, Family Sharing",2021-06-25,2.99,"0 - 20,000",47,Virtence GmbH,Virtence GmbH
1798,2265,Gos castle runner,"Indie, Racing"," Single-player, Family Sharing",2021-06-14,0.99,"0 - 20,000",11,Agostta Games,Agostta Games
1799,2266,Time knight adventures,"Adventure, Indie"," Single-player, Full controller support, Family Sharing",2021-08-12,4.99,"0 - 20,000",41,ERMedia,Plug In Digital
1800,2268,Cockeyed helicopters,"Action, Casual"," Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Stats",2021-05-31,8.99,"0 - 20,000",14,tjerb,Saiph
1801,2269,Hiragana katakana ninja,"Fr, Simulation"," Single-player, Steam Achievements, Family Sharing",2021-05-24,1.99,"0 - 20,000",31,Wholetone Games,Wholetone Games
1802,2270,Jude,"Indie, Strategy"," Single-player, Family Sharing",2021-08-09,11.99,"20,000 - 50,000",143,Trois7ème,Trois7ème
1803,2271,Tactical vanguard saga,"RPG, Strategy"," Single-player, Family Sharing",2021-07-20,4.99,"100,000 - 200,000",32,Blacc Ski Weekend Industries,Blacc Ski Weekend Industries
1804,2272,Vrastrosmash,"Casual, Simulation"," Single-player, Tracked Controller Support, VR Only, Family Sharing",2021-07-15,0.99,"0 - 20,000",19,2REALVR,2REALVR
1805,2273,战斗俄罗斯方块,"Indie, Strategy"," Multi-player, PvP, Online PvP, Family Sharing",2021-07-27,4.99,"0 - 20,000",42,lanqing game,lanqing game
