Name,Genre,Category,Release_Date,Price (in $),Followers,Developers,Publishers,Ownership_Midpoint
Zombiewave-unlimitedchallenges,"Indie, Strategy"," Single-player, Steam Achievements, Stats, Steam Leaderboards, Family Sharing",2021-01-06,1.99,53,AlloyStove,AlloyStove,150000.0
Survival draw,"Strategy, Early Access"," Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",2021-01-14,5.99,29,BovinoSoftware,BovinoSoftware,10000.0
Heterodox,"Indie, Early Access"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-05-14,11.99,148,Cosmin Nastasoiu,Phalanx Softworks,10000.0
Nullore: beginning,"Adventure, Indie"," Single-player, Family Sharing",2021-04-30,3.99,65,RSA World,RSA World,10000.0
Escape the ordinary: tales of romina manor,"Fr, Indie"," Single-player, Family Sharing",2021-02-01,0.99,32,megaseven,megaseven,35000.0
Marooned,"Indie, Simulation"," Single-player, Family Sharing",2021-03-08,2.99,59,Mika Pi,Mika Pi,10000.0
Castle of collapse,"Casual, Indie"," Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",2021-04-04,1.99,25,Tamashii,Tamashii,10000.0
Above the skies,"Indie, RPG"," Single-player, Partial Controller Support, Family Sharing",2021-09-03,6.99,61,Valkyria Games,Valkyria Games,35000.0
Fenrir's prelude,"Adventure, RPG"," Single-player, Partial Controller Support, Family Sharing",2021-06-29,0.99,44,Ragnarok Aesthetic,Ragnarok Aesthetic,150000.0
Long tail,"Fr, Casual"," Single-player, Steam Achievements, Partial Controller Support, Family Sharing",2021-10-14,4.99,56,Kamil Rams,Kamil Rams,10000.0
Dr iwan: evolution,"Strategy, Early Access"," Single-player, Family Sharing",2021-11-19,6.99,60,OMSTUDIO,OMSTUDIO,10000.0
Street dreams,"Casual, Indie"," Single-player, Steam Achievements, Tracked Controller Support, VR Only, Stats, Steam Leaderboards, Family Sharing",2021-09-17,6.99,41,Anthony Sturdy,Anthony Sturdy,10000.0
Power pals,"Fr, Casual"," Single-player, Family Sharing",2021-08-27,0.99,31,Ripknot,Ripknot,10000.0
Danger: electric shock,"Fr, Action"," Single-player, Tracked Controller Support, VR Only, Family Sharing",2021-09-06,4.99,32,Redream Studio,Redream Studio,10000.0
The trader,"RPG, Early Access"," Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",2021-07-30,9.99,48,IndieDevDan,IndieDevDan,35000.0
Django,"Indie, Strategy"," Single-player, Partial Controller Support, Family Sharing",2021-08-27,4.99,64,Thithishkumar Selvanathan (Raphael),TruePathGames,10000.0
