,Name,developers_publishers,genre,category,release_date,price,owners,followers,playtime_total
1534,['kanojo xx switch'],"['Rectangular Circle', 'Rectangular Circle']","['Indie', 'Simulation']"," Single-player, Family Sharing","Apr 6, 2021",$0.49,"0 .. 20,000",78,
1535,['manipulator i:the hand behind'],"['GuoQiangQiang', 'GuoQiangQiang']","['Fr', 'Adventure']"," Single-player, Tracked Controller Support, VR Only, Family Sharing","Apr 24, 2021",$9.99,"0 .. 20,000",22,
1536,['my waifu guild'],"['Elementarium games', 'Elementarium games']","['Fr', 'Indie']"," Single-player, Steam Achievements, Family Sharing","Oct 5, 2021",$1.79,"0 .. 20,000",876,01:18 (average) 01:19 (median)
1537,['galaxy one'],"['ZombEYE Games', 'ZombEYE Games']","['Indie', 'Early Access']"," Single-player, Family Sharing","Apr 16, 2021",$17.99,"0 .. 20,000",34,
1538,['girls guns and zombies'],"['Evil Bunneh', 'Evil Bunneh']","['Casual', 'Indie']"," Single-player, Steam Achievements, Steam Cloud, Family Sharing","Apr 6, 2021",$2.99,"0 .. 20,000",402,
1539,['online adult content manager'],"['Takeover Studios', 'Kink Master Studios']","['Fr', 'Casual']"," Single-player, Steam Achievements, Steam Cloud, Stats, Family Sharing","May 12, 2021",$3.99,"0 .. 20,000",265,
1540,['mythos ever after: a cthulhu dating sim rx'],"['Stegalosaurus Game Development', 'Stegalosaurus Game Development']","['Casual', 'Indie']"," Single-player, Steam Achievements, Family Sharing","Jul 20, 2021",$0.99,"0 .. 20,000",36,
1541,['hentai waifu girls'],"['Muryoku Studio', 'Muryoku Studio']","['Indie', 'Strategy']"," Single-player, Steam Achievements, Family Sharing","Aug 26, 2021",$0.99,"0 .. 20,000",260,
1542,['squad of dangerous'],"['CPITeam', 'CPITeam']","['Strategy', 'Early Access']"," Multi-player, Co-op, Online Co-op, Family Sharing","Jul 2, 2021",$2.99,"0 .. 20,000",14,
1543,['i am - a story of awakenings'],"['Synthetic Forms', 'Synthetic Forms']","['Action', 'Adventure']"," Single-player, Family Sharing","Jul 12, 2021",$0.99,"0 .. 20,000",35,
1544,['hentai brick breaker'],"['LineArtBabe', 'DIG Publishing']","['Casual', 'Indie']"," Single-player, Family Sharing","Jun 30, 2021",$1.19,"0 .. 20,000",60,
1545,['erotic jigsaw puzzle 4'],"['Lolita LineArt', 'DIG Publishing']","['Casual', 'Indie']"," Single-player, Steam Achievements, Steam Leaderboards, Family Sharing","Jun 17, 2021",$2.99,"0 .. 20,000",46,
1546,['code correction'],"['Feral Code Monkey', 'Feral Code Monkey']","['Fr', 'Casual']"," Single-player, Family Sharing","Jun 27, 2021",$6.99,"0 .. 20,000",15,
